granule_id,mgrs_tile,date,source_granule_id,cloud_cover,spatial_cover,LaSRC_version,mean_view_zenith_angle,mean_view_azimuth_angle,mean_sun_zenith_angle,mean_sun_azimuth_angle,,,,,,,,,,,,,,,
HLS.L30.T14SPG.2021304T170737.v2.0,14SPG,2021-10-31,LC08_L1TP_028034_20211031_20211031_02_RT,0,100,LaSRCv3.0.5,2.74026217,208.8008806,53.97877802,160.4284916,,,,,,,,,,,,,,,
HLS.L30.T14SPG.2022099T170700.v2.0,14SPG,2022-04-09,LC08_L1TP_028034_20220409_20220409_02_RT,0,100,LaSRCv3.0.5,2.84323602,215.0465106,35.2070483,142.2228698,,,,,,,,,,,,,,,
HLS.L30.T14SPG.2022299T170738.v2.0,14SPG,2022-10-26,LC09_L1TP_028034_20221026_20221026_02_T1,6,100,LaSRCv3.0.5,2.72654377,209.9549669,52.33725377,159.7279399,,,,,,,,,,,,,,,
HLS.L30.T14TNP.2021222T171741.v2.0,14TNP,2021-08-10,LC08_L1TP_030029_20210810_20210819_02_T1,1,100,LaSRCv3.0.5,3,204,33,143,,,,,,,,,,,,,,,
HLS.L30.T14TNP.2021270T171753.v2.0,14TNP,2021-09-27,LC08_L1TP_030029_20210927_20211001_02_T1,0,100,LaSRCv3.0.5,2.66547061,204.5680208,48.00270514,157.5596286,,,,,,,,,,,,,,,
HLS.L30.T14TNP.2021302T171759.v2.0,14TNP,2021-10-29,LC08_L1TP_030029_20211029_20211108_02_T1,0,100,LaSRCv3.0.5,2.69089464,206.6110006,58.98669839,163.304475,,,,,,,,,,,,,,,
HLS.L30.T14TNP.2022057T171737.v2.0,14TNP,2022-02-26,LC09_L1TP_030029_20220226_20220226_02_T1,2,100,LaSRCv3.0.5,2.65488735,205.787199,55.99316637,153.3861449,,,,,,,,,,,,,,,
HLS.L30.T14TNP.2022065T171733.v2.0,14TNP,2022-03-06,LC08_L1TP_030029_20220306_20220306_02_RT,1,100,LaSRCv3.0.5,2.71381584,208.3397419,52.97772424,152.5922819,,,,,,,,,,,,,,,
HLS.L30.T14TNP.2022217T171740.v2.0,14TNP,2022-08-05,LC09_L1TP_030029_20220805_20220805_02_T1,0,100,LaSRCv3.0.5,2.68505575,208.2389358,31.95350738,141.0391693,,,,,,,,,,,,,,,
HLS.L30.T15QXV.2022002T162921.v2.0,15QXV,2022-01-02,LC08_L1TP_021047_20220102_20220102_02_RT,1,100,LaSRCv3.0.5,2.68368826,202.8682062,47.34207456,147.8373947,,,,,,,,,,,,,,,
HLS.L30.T15QZB.2022019T162247.v2.0,15QZB,2022-01-19,LC09_L1TP_020046_20220119_20220119_02_T1,5,100,LaSRCv3.0.5,2.6348734,200.6409627,47.38799686,145.2560142,,,,,,,,,,,,,,,
HLS.L30.T15SYV.2021285T163706.v2.0,15SYV,2021-10-12,LC08_L1TP_023035_20211012_20211019_02_T1,0,100,LaSRCv3.0.5,2.57869818,191.1363705,46.29845026,155.6913905,,,,,,,,,,,,,,,
HLS.L30.T15SYV.2022040T163655.v2.0,15SYV,2022-02-09,LC09_L1TP_023035_20220209_20220209_02_T1,1,100,LaSRCv3.0.5,2.57559961,193.186092,55.2375764,150.7876333,,,,,,,,,,,,,,,
